User ID,Username,Colour Roles,Message Count
1194625835802574891,paxton_mylerbe,None,2
945639232125407262,airbornedemons,None,38
1235591443104665704,ranak6989_68418,None,11
1346930995861131325,maduro2711,None,75
752478151858454588,oakley._.,None,186
1147627053999456336,milkyhimself,None,41
1363142261570797800,bsuc1,None,1687
1365277080262152243,king_death1939,None,6
1302747568333131798,panzerdudexd_15935,None,7
1352961009073262595,boatcuppasareklukai,None,336
651667387166228495,clanker9515,None,52
1365401755399229470,pyroispluto,None,3
1150332552842858536,stiiknie,None,95
948925208289488926,levvvii,None,17
1274612957824684104,hex_vr99,None,19
748156733536338041,mrknoz,None,2
966013517239029770,captunlook,None,2
1086410389643853864,valkito07,None,28
1167002474490626061,m43y.,None,3
1237035716802908292,prckooriginal,None,3
664471247274377257,bigjimmy8704,None,1
1360317139202080888,bucket_head_zombie,None,2925
1135200593070264410,lucien_me,None,146
985843519824474135,cratefc,None,238
632590227017433098,wemakelol,None,2
1066035066054123660,notsmokebee,None,125
1366203942043910155,governador_0,None,2
753386203222376509,.maldus32,None,34
912825984372318208,spectralant,None,51
680503290127056906,_nova33_,None,42
991379683486732431,maus.the.otter,None,22
834876845370376223,unknownpunsheva,None,52
925966701806366761,darky.warky,None,1358
924842099004817438,kalcosin,None,4
1312577545614393367,lennyboii2008,None,8
1188687423429935197,1oregano,None,1
1370210149872046111,_soliplihsm,None,968
1162734265159663717,rexdarockbeesee,None,1
1082062809531170847,tamika2006,None,455
875336074472345611,atakano.,None,100
992438280698208338,theserbnationalist,None,2
1224660244706365591,beslan1109,None,1
1319324434724814848,afriendlyguy1,None,15
686923663068495902,sefardius,None,13
790594364454862938,umairomg,None,3469
1370111903216701511,4steven5,None,223
1343788245368176661,flooortileeater,None,24894
1066073041618079854,fdrboy,None,1
1371692909203558400,mr_redmapletree,None,8
1372041240694231130,justatree0,None,11
1135256834148663407,very_random1234,None,6908
1277984036639346740,dansthegreat1,None,57
1129099582417158289,gustavo094708,None,18
1165701321115062325,j_mrpz_43093,None,35
893617941768200222,zen4505,None,5166
1353175984291188918,reizoyozakura,None,4
705623281083875349,lamehongos_,None,2
680610307000762406,pseudollama,None,20
587999065661505536,protohog,None,9
1108531063413821460,xucti,None,50
1174311267171835904,archdukeofmemes,None,83
727032096828424302,khione_eunice,None,10
1025465848460218481,joeyormston.,None,3
684425084609626113,godis7000,None,1
985488161612386334,rdeweerd,None,44
1375268119836364882,davi060418.,None,873
1355725485664895017,moustache1tc,None,240
1284068918734098446,astorfaa,None,255
1272758840911204484,bex.0715,None,31
715620264066547883,afres,None,18
1114042744927694909,panda956s,None,12028
895035797974175804,normal_canb,None,12
759898389423849524,tapia138,None,2
1030259586181103619,lucho3000.,None,419
1116801161777922058,prmbb,None,9907
1350996062751690832,alvelinokubshek,None,113
1063802058752413786,joao.5.9,None,26
1374538708556185600,time_time109.,None,39
1370349753740689428,foxhunterandkj.1,None,8
1257769304179478585,zab_price,None,3
1377841062311362693,ampleamountsofample,Green,47
1290615545053319211,thecatenthusiast_dave,None,1
963455485778997278,ass_eater420692,None,2
1031886526751199303,clown_0_0_,None,566
1251260747326161001,mr.teddy0330,Blue,3352
1295916662947840011,marxoz_01,None,439
856063077144592384,4oqb,None,10
1130684571747352696,yoits_jayz,None,23
784784826338508880,xjnbbqaq_0193,None,25
717746243211886602,puggy.,None,176
1372752938610462730,dawn003941,None,290
1375265786775474257,walterweiss,None,19392
942029738799665173,robbox_.,None,5
1313652023798927445,soapynuggets,None,2
770357010084003840,_fvs,None,302
718224366097137738,joaolucaszz,None,68
1295468025104957572,weslley02470,None,12
1202430057914703935,lazii.fr,None,142
754188675138715790,slug_z,None,4067
757496008027537440,ample_3000,None,1412
1200872344374222868,brru_0624,None,128
1044878590619172864,haiuserini,None,26
792755328663945246,kalisvic,None,497
1351883381260156941,faster.4531_,None,36
993872788819550290,flavianlegacy,None,12
1379560636664647781,xzlx0x,None,2253
1330548218232049711,comicclam_40363,None,3
855953101937049651,kya_lyly,None,2292
1265079060854472820,lord_phoenix709,None,52
1325384498468356176,indianajoh_39379,None,375
1055667682822852669,xxmechx9a_sweatxx,None,155
1286362224297771018,person08185,None,2
1366956305184723105,phase151,None,695
603910419949813780,vijand,None,188
1264054962560958484,bold.4k,None,76
1334884394078568479,piscapizass_83756,None,5
1371490587085373553,unkownpunsheva,None,100
1223470264529059891,sharkiest_shark,None,14
1327189194375958602,rudy3r,None,20
1208339249204699210,not_realkira,None,107
1259136273767989308,mango_josh_49973,None,82
840256061519953960,parizal,None,50
936275840541532171,tcmore09_,None,17
1381375901236858900,talllles703,None,35
1068141210667065364,mickael3346,None,1
1355838435423944765,fading_away0355,None,1
622849795790340137,dev_thebuilder,None,7
755173304448450681,voidwalker8061,Blue,29763
892441915260280864,misterbarbarian,None,4
955264744544153661,serbnationalistyt,None,672
678283595453956177,karetsin,None,1
1169707352442806302,dude0192,None,1
1091974282973823116,qwerty06618_77701,None,297
1237400029803839528,im_not_nood,None,23
1061275883568115802,i_amtired112,None,1
1352649429928120354,little_sigma35772,None,6
1065349186385621063,donvandino,None,18
1152435434828345404,osmanmahmud,None,3
1364094742115385404,royalrecruit1,None,209
1323833673937846314,the1nonlymeb,None,329
1383117276793929738,theofficer0019,None,3
1245533233127362621,thepinkflowathing,None,1953
738845476899651657,capta1nfordo,None,5
832404186762444850,prussianvalor,None,715
1230490556451389463,kharon7837.,None,2
746930206207639594,side_rr,None,36
842917228802473985,k4mip,None,19
1063334153568911371,maximi4924,None,1
1379747896651546744,realll._,None,2
1079166565729181728,uwukitteneva,None,2168
929838387337252874,arraviz,None,46
1378425784594731121,boeingaircraft.2842,None,52
812805347454091294,rezzy2goated,None,1
